Title,Product URL,Price,Solder,Review,Review Number,Image URL,Crawl Time
Hannah's War,https://www.amazon.com/Hannahs-War-Jan-Eliasberg-ebook/dp/B07V34QNSF/ref=sr_1_298?keywords=Kindle+Store&qid=1706499695&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-298,$2.99,Jan Eliasberg,4.4 out of 5 stars,539,https://m.media-amazon.com/images/I/91cBfdK-gnL._AC_UY218_.jpg,2024-01-28 22:41:39
Noble Beginnings: A Thriller (Jack Noble Thrillers Book 1),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5ODkwMDUyNjE0NDkwMjg6MTcwNjQ5OTY5NTpzcF9tdGY6MjAwMDg1NzA2MzY0MzIxOjowOjo&url=%2FNoble-Beginnings-Jack-Thriller-ebook%2Fdp%2FB009K8RHNQ%2Fref%3Dsr_1_299_sspa%3Fkeywords%3DKindle%2BStore%26qid%3D1706499695%26refinements%3Dp_n_deal_type%253A23566064011%26rnid%3D1248985011%26s%3Ddigital-text%26sr%3D1-299-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$0.99,L.T. Ryan,4.0 out of 5 stars,"35,247",https://m.media-amazon.com/images/I/91pXKpUfGgL._AC_UY218_.jpg,2024-01-28 22:41:39
Cowboy Seeking Nanny (Cowboys of Moss Creek Book 1),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5ODkwMDUyNjE0NDkwMjg6MTcwNjQ5OTY5NTpzcF9tdGY6MjAwMDU0Mzk1Nzg0NDIxOjowOjo&url=%2FCowboy-Seeking-Nanny-Classifieds-Book-ebook%2Fdp%2FB08DM2SLCT%2Fref%3Dsr_1_300_sspa%3Fkeywords%3DKindle%2BStore%26qid%3D1706499695%26refinements%3Dp_n_deal_type%253A23566064011%26rnid%3D1248985011%26s%3Ddigital-text%26sr%3D1-300-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$0.00,Janice Whiteaker,4.5 out of 5 stars,"6,169",https://m.media-amazon.com/images/I/71UPQuR1BgL._AC_UY218_.jpg,2024-01-28 22:41:39
Secretum,https://www.amazon.com/Secretum-Rita-Monaldi-ebook/dp/B08WHR4QVB/ref=sr_1_301?keywords=Kindle+Store&qid=1706499695&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-301,$2.99,Rita Monaldi,4.0 out of 5 stars,18,https://m.media-amazon.com/images/I/71+68Ux9J4L._AC_UY218_.jpg,2024-01-28 22:41:39
Lost Tomorrows (The Rick Cahill Series Book 6),https://www.amazon.com/Lost-Tomorrows-Rick-Cahill-Book-ebook/dp/B07XS85XNG/ref=sr_1_302?keywords=Kindle+Store&qid=1706499695&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-302,$1.99,Matt Coyle,4.3 out of 5 stars,698,https://m.media-amazon.com/images/I/81eu4eXU04L._AC_UY218_.jpg,2024-01-28 22:41:39
A Planned Occasion (Good Intentions collection),https://www.amazon.com/Planned-Occasion-Good-Intentions-collection-ebook/dp/B0BXQ3FHBS/ref=sr_1_303?keywords=Kindle+Store&qid=1706499695&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-303,$0.00,Angie Kim,4.3 out of 5 stars,313,https://m.media-amazon.com/images/I/81jyN0r6epL._AC_UY218_.jpg,2024-01-28 22:41:39
Retribution (Koa Kane Hawaiian Mystery Book 5),https://www.amazon.com/Retribution-Kane-Hawaiian-Mystery-Book-ebook/dp/B0B922ZDXZ/ref=sr_1_304?keywords=Kindle+Store&qid=1706499695&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-304,$1.99,Robert McCaw,4.5 out of 5 stars,50,https://m.media-amazon.com/images/I/91X3GbTFRIL._AC_UY218_.jpg,2024-01-28 22:41:39
Ritual of Fire: From The Crime Writers' Association Historical Dagger Winning Author (Cesare Aldo series Book 3),https://www.amazon.com/Ritual-Fire-Explosive-Historical-Renaissance-ebook/dp/B0BD4XRQDW/ref=sr_1_305?keywords=Kindle+Store&qid=1706499695&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-305,$4.99,D. V. Bishop,4.5 out of 5 stars,192,https://m.media-amazon.com/images/I/81yp9Rp+UpL._AC_UY218_.jpg,2024-01-28 22:41:39
The Stories of Ray Bradbury,https://www.amazon.com/Stories-Ray-Bradbury-ebook/dp/B08KH4TR4Q/ref=sr_1_306?keywords=Kindle+Store&qid=1706499695&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-306,$3.99,Ray Bradbury,4.7 out of 5 stars,862,https://m.media-amazon.com/images/I/71kZOUN1S+L._AC_UY218_.jpg,2024-01-28 22:41:39
The Lost Diary of Anne Frank,https://www.amazon.com/Lost-Diary-Anne-Frank-ebook/dp/B0B3518MPZ/ref=sr_1_305?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-305,$3.99,Amazon.com Services LLC,4.6 out of 5 stars,158,https://m.media-amazon.com/images/I/81Rnelw6+TL._AC_UY218_.jpg,2024-01-28 22:41:50
